NumRequests,TimeElapsed
1,0.0267917
1,0.0265605
1,0.0265999
20,0.087138
20,0.072804
20,0.0642252
60,0.13568
60,0.129551
60,0.129706
80,0.167159
80,0.167641
80,0.190896
100,0.204224
100,0.204807
100,0.21435
120,0.23868
120,0.238464
120,0.240172
160,0.353183
160,0.33133
160,0.315093
180,0.343078
180,0.348604
180,0.344798
200,0.385426
200,0.821663
200,0.385529
