Run,TimeMs
0,17792
1,16829
2,16797
3,16889
4,16856
5,16846
6,16855
7,16842
8,16799
9,17803
10,17816
11,17804
12,16803
13,17022
14,16801
15,17796
16,16808
17,16805
18,16810
19,16804
20,17784
21,16876
22,16877
23,16830
24,16864
25,17782
26,16803
27,16816
28,17787
29,16820
30,16997
31,16873
32,16860
33,17815
34,16812
35,16841
36,16774
37,16785
38,16847
39,16870
40,16876
41,16853
42,16937
43,17802
44,16765
45,16826
46,16973
47,16844
48,16890
49,17850
