NumAuthorities,Run,EncryptMs,DecryptMs
1,0,10.295616,6.7347850000000005
1,1,10.164797,6.723604
1,2,10.219607,6.727094999999999
1,3,10.135097,6.724614
1,4,9.974817,6.718335
1,5,10.168216000000001,6.729765
1,6,10.210376,6.719385
1,7,10.102896999999999,6.718484
1,8,10.073628,6.720674000000001
1,9,10.144457000000001,6.734095
1,10,10.214766000000001,6.736605
1,11,10.189496,6.726135
1,12,10.090127,6.732424
1,13,10.210637,6.730574
1,14,10.049908,6.719044
1,15,10.196467,6.748784
1,16,10.194837,6.724795
1,17,10.014437,6.715984000000001
1,18,10.101617000000001,6.7329039999999996
1,19,10.050127000000002,6.732405
2,0,17.012681,8.060830999999999
2,1,16.768901999999997,8.067431
2,2,16.937262,8.070191000000001
2,3,16.958541,8.061662
2,4,16.629701999999998,8.078011
2,5,16.808291999999998,8.082321
2,6,16.779122,8.064122
2,7,17.14685,8.085682
2,8,16.986141,8.073311
2,9,16.977601,8.067182
2,10,16.711872,8.067301
2,11,17.064201,8.070542
2,12,17.002921,8.062871
2,13,17.106890999999997,8.074512
2,14,16.844071,8.063652
2,15,17.25877,8.068901
2,16,16.876242,8.058941
2,17,16.925141,8.080752
2,18,16.938702,8.058291
2,19,16.751062,8.071010999999999
4,0,30.063302,10.740235
4,1,30.563779999999998,10.729235000000001
4,2,30.063302,10.736615
4,3,30.278831,10.732555
4,4,30.003881,10.740125999999998
4,5,30.038001,10.742455
4,6,30.991149,10.738416
4,7,29.942491,10.733456
4,8,30.26421,10.749616
4,9,29.884371,10.749405999999999
4,10,30.092441,10.744355
4,11,29.813622000000002,10.755125000000001
4,12,30.541951,10.741795
4,13,30.683259,10.749916
4,14,30.60642,10.754395
4,15,30.897619000000002,10.752085999999998
4,16,30.916869,10.740744999999999
4,17,30.541671,10.746085
4,18,30.39506,10.744695
4,19,30.102552000000003,10.743495000000001
8,0,57.349059000000004,16.084803
8,1,55.835522,16.090033000000002
8,2,56.556981,16.087253
8,3,57.605379,16.109563
8,4,58.170276,16.100754
8,5,58.112246,16.111003
8,6,56.989079999999994,16.098153
8,7,56.567240999999996,16.095733000000003
8,8,57.244398000000004,16.082404
8,9,57.385028,16.085603
8,10,58.218477,16.099902999999998
8,11,57.358939,16.081802999999997
8,12,57.981887,16.077932999999998
8,13,57.364329,16.089623
8,14,57.14905,16.099982999999998
8,15,57.045889,16.089524
8,16,56.188382000000004,16.085573
8,17,57.257509,16.087843
8,18,57.191129000000004,16.080372999999998
8,19,57.077859000000004,16.099373
12,0,85.019285,21.420571
12,1,83.844678,21.406221
12,2,84.584496,21.405680999999998
12,3,84.093408,21.432291
12,4,85.42332499999999,21.425791
12,5,84.366127,21.416091
12,6,82.94523,21.436121
12,7,84.488016,21.468811000000002
12,8,83.888608,21.419561
12,9,84.083397,21.554961000000002
12,10,85.37246499999999,21.47578
12,11,85.084586,21.42151
12,12,83.43490000000001,21.40957
12,13,84.089528,21.408390999999998
12,14,84.456957,21.42384
12,15,85.077486,21.4286
12,16,85.079906,21.454280999999998
12,17,84.176158,21.401361
12,18,83.940058,21.412891
12,19,85.795264,21.418150999999998
16,0,111.963183,26.762009
16,1,110.211848,26.794728
16,2,112.726702,26.786238
16,3,111.159606,26.765579000000002
16,4,110.906176,26.752619
16,5,111.33185499999999,26.758058000000002
16,6,108.973571,26.768528
16,7,111.128476,26.755019
16,8,110.217647,26.753909
16,9,113.126481,26.760879000000003
16,10,111.072315,26.779819
16,11,112.449912,26.772269
16,12,112.391613,26.766629000000002
16,13,111.935863,26.754809
16,14,112.443962,26.766538999999998
16,15,111.442855,26.783088
16,16,110.621437,26.814989
16,17,108.106912,26.760099
16,18,110.449877,26.783538999999998
16,19,111.696774,26.772288000000003
