NumAuthorities,Run,EncryptMs,DecryptMs
1,0,10.272066,6.761035000000001
1,1,10.173216,6.732545
1,2,10.224046000000001,6.740925
1,3,10.111397,6.727904
1,4,9.961828,6.743544
1,5,10.156777,6.7359849999999994
1,6,10.231577,6.725175
1,7,10.114896,6.720645
1,8,10.081866999999999,6.728574
1,9,10.145316999999999,6.726405000000001
1,10,10.231297,6.718965000000001
1,11,10.200167,6.714644
1,12,10.107407,6.725835
1,13,10.220246000000001,6.730725
1,14,10.044987,6.734064
1,15,10.221786999999999,6.720674000000001
1,16,10.207177,6.727964
1,17,10.006137,6.7972850000000005
1,18,10.377636,6.731644999999999
1,19,10.075327,6.724654
2,0,16.947771,6.729905
2,1,16.895421000000002,6.737324
2,2,16.938181,6.744955
2,3,16.964552,6.755204
2,4,16.768852000000003,6.743863999999999
2,5,16.905611,6.747665
2,6,16.812141,6.730575
2,7,17.082811,6.763344
2,8,16.954832,6.755674
2,9,16.966500999999997,6.730315
2,10,16.715421000000003,6.727835
2,11,17.033101,6.732394
2,12,17.005080999999997,6.730185
2,13,16.974571,6.728365
2,14,16.910831,6.728235
2,15,17.175079999999998,6.745064999999999
2,16,16.878211,6.727365
2,17,16.837090999999997,6.744114
2,18,16.926552,6.735035
2,19,16.665121000000003,6.737735
4,0,30.074621,6.749034999999999
4,1,30.740469,6.7470550000000005
4,2,30.205111,6.7451550000000005
4,3,30.582239,6.743435
4,4,30.073560999999998,6.749683999999999
4,5,30.047032,6.754215
4,6,31.157909,6.746045
4,7,29.864392,6.754194
4,8,30.186831,6.749535
4,9,29.851952,6.758084
4,10,29.926610999999998,6.735125
4,11,29.944521,6.752885
4,12,30.449360000000002,6.749325
4,13,30.51775,6.753534
4,14,30.61776,6.749245
4,15,30.51537,6.7523349999999995
4,16,30.909948999999997,6.754524
4,17,30.57205,6.749494
4,18,30.382321,6.745225
4,19,30.015941,6.754834000000001
8,0,57.752048,6.771075
8,1,55.492302,6.779925
8,2,56.500911,6.774083999999999
8,3,57.751257,6.771915
8,4,58.011796999999994,6.780665
8,5,57.896246999999995,6.766974
8,6,56.87707,6.785254999999999
8,7,56.457350000000005,6.7846649999999995
8,8,57.363609000000004,6.770685
8,9,57.310398,6.7757249999999996
8,10,58.415766,6.788145
8,11,57.201958,6.775565
8,12,57.905837,6.791415000000001
8,13,57.610488000000004,6.770594
8,14,57.160548999999996,6.770255000000001
8,15,57.625058,6.772254
8,16,55.948892,6.771285
8,17,57.434798,6.7702040000000006
8,18,57.328299,6.775855
8,19,56.793959,6.771115
12,0,84.621156,6.790995000000001
12,1,83.814168,6.806134
12,2,85.275975,6.807834
12,3,83.849609,6.796654
12,4,85.472014,6.812734
12,5,84.425627,6.801704000000001
12,6,83.12306,6.798623999999999
12,7,84.325307,6.808654
12,8,84.062468,6.8044139999999995
12,9,83.87920799999999,6.790845
12,10,84.979475,6.811224999999999
12,11,85.098884,6.804514999999999
12,12,83.400199,6.801134
12,13,82.868781,6.799434
12,14,84.480826,6.803713999999999
12,15,85.095956,6.809344
12,16,85.147765,6.808565
12,17,83.971338,6.805004
12,18,83.782078,6.798645
12,19,86.490712,6.806594
16,0,111.825404,6.817944000000001
16,1,110.613697,6.817474
16,2,112.553892,6.832165000000001
16,3,111.461404,6.828195
16,4,110.50786699999999,6.807904
16,5,111.670234,6.816095000000001
16,6,109.276079,6.829934000000001
16,7,110.983226,6.8558639999999995
16,8,110.099458,6.812984999999999
16,9,112.787292,6.817985
16,10,111.06932599999999,6.828385
16,11,112.452823,6.813164
16,12,112.261763,6.816985
16,13,111.834873,6.826944
16,14,112.702302,6.832694
16,15,110.987716,6.814065
16,16,110.64552599999999,6.822005
16,17,108.469752,6.829835
16,18,110.779957,6.819214
16,19,111.890463,6.839435
